1.0, 0.689, 0.671, 0.168, 0.18, 0.168, 0.172, 0.281, 0.271, 0.274, 0.573, 0.61, 0.399, 0.341, 0.366, 0.318, 0.325, 0.328, 0.288, 0.27, 0.208, 0.277, 0.214, 0.234
0.689, 1.0, 0.827, 0.215, 0.203, 0.126, 0.217, 0.338, 0.312, 0.312, 0.63, 0.427, 0.438, 0.408, 0.41, 0.387, 0.361, 0.362, 0.386, 0.255, 0.256, 0.291, 0.281, 0.303
0.671, 0.827, 1.0, 0.249, 0.241, 0.15, 0.251, 0.364, 0.36, 0.36, 0.571, 0.395, 0.42, 0.44, 0.433, 0.43, 0.374, 0.382, 0.367, 0.259, 0.173, 0.311, 0.31, 0.317
0.168, 0.215, 0.249, 1.0, 0.927, 0.511, 0.97, 0.802, 0.799, 0.801, 0.346, 0.222, 0.36, 0.406, 0.371, 0.407, 0.41, 0.429, 0.414, 0.362, 0.258, 0.458, 0.488, 0.477
0.18, 0.203, 0.241, 0.927, 1.0, 0.503, 0.914, 0.784, 0.788, 0.793, 0.338, 0.246, 0.354, 0.399, 0.359, 0.402, 0.397, 0.419, 0.395, 0.354, 0.246, 0.454, 0.479, 0.462
0.168, 0.126, 0.15, 0.511, 0.503, 1.0, 0.539, 0.486, 0.519, 0.514, 0.288, 0.261, 0.279, 0.239, 0.333, 0.214, 0.39, 0.374, 0.262, 0.465, 0.202, 0.396, 0.273, 0.319
0.172, 0.217, 0.251, 0.97, 0.914, 0.539, 1.0, 0.8, 0.805, 0.805, 0.349, 0.227, 0.363, 0.405, 0.38, 0.405, 0.42, 0.437, 0.414, 0.377, 0.259, 0.466, 0.486, 0.479
0.281, 0.338, 0.364, 0.802, 0.784, 0.486, 0.8, 1.0, 0.905, 0.909, 0.385, 0.255, 0.446, 0.481, 0.448, 0.477, 0.45, 0.468, 0.462, 0.367, 0.286, 0.454, 0.475, 0.472
0.271, 0.312, 0.36, 0.799, 0.788, 0.519, 0.805, 0.905, 1.0, 0.986, 0.354, 0.239, 0.422, 0.473, 0.45, 0.473, 0.45, 0.468, 0.429, 0.371, 0.231, 0.454, 0.467, 0.46
0.274, 0.312, 0.36, 0.801, 0.793, 0.514, 0.805, 0.909, 0.986, 1.0, 0.355, 0.244, 0.423, 0.473, 0.447, 0.474, 0.447, 0.466, 0.429, 0.369, 0.233, 0.454, 0.468, 0.46
0.573, 0.63, 0.571, 0.346, 0.338, 0.288, 0.349, 0.385, 0.354, 0.355, 1.0, 0.64, 0.448, 0.387, 0.406, 0.36, 0.436, 0.434, 0.45, 0.409, 0.42, 0.429, 0.386, 0.422
0.61, 0.427, 0.395, 0.222, 0.246, 0.261, 0.227, 0.255, 0.239, 0.244, 0.64, 1.0, 0.338, 0.252, 0.282, 0.226, 0.314, 0.315, 0.271, 0.345, 0.308, 0.334, 0.24, 0.266
0.399, 0.438, 0.42, 0.36, 0.354, 0.279, 0.363, 0.446, 0.422, 0.423, 0.448, 0.338, 1.0, 0.8, 0.825, 0.744, 0.795, 0.802, 0.812, 0.647, 0.6, 0.713, 0.658, 0.705
0.341, 0.408, 0.44, 0.406, 0.399, 0.239, 0.405, 0.481, 0.473, 0.473, 0.387, 0.252, 0.8, 1.0, 0.815, 0.941, 0.753, 0.793, 0.777, 0.565, 0.449, 0.706, 0.75, 0.744
0.366, 0.41, 0.433, 0.371, 0.359, 0.333, 0.38, 0.448, 0.45, 0.447, 0.406, 0.282, 0.825, 0.815, 1.0, 0.766, 0.869, 0.871, 0.746, 0.69, 0.474, 0.741, 0.666, 0.714
0.318, 0.387, 0.43, 0.407, 0.402, 0.214, 0.405, 0.477, 0.473, 0.474, 0.36, 0.226, 0.744, 0.941, 0.766, 1.0, 0.707, 0.751, 0.736, 0.523, 0.402, 0.677, 0.752, 0.724
0.325, 0.361, 0.374, 0.41, 0.397, 0.39, 0.42, 0.45, 0.45, 0.447, 0.436, 0.314, 0.795, 0.753, 0.869, 0.707, 1.0, 0.947, 0.776, 0.802, 0.544, 0.849, 0.718, 0.791
0.328, 0.362, 0.382, 0.429, 0.419, 0.374, 0.437, 0.468, 0.468, 0.466, 0.434, 0.315, 0.802, 0.793, 0.871, 0.751, 0.947, 1.0, 0.789, 0.769, 0.529, 0.869, 0.76, 0.82
0.288, 0.386, 0.367, 0.414, 0.395, 0.262, 0.414, 0.462, 0.429, 0.429, 0.45, 0.271, 0.812, 0.777, 0.746, 0.736, 0.776, 0.789, 1.0, 0.626, 0.64, 0.743, 0.764, 0.823
0.27, 0.255, 0.259, 0.362, 0.354, 0.465, 0.377, 0.367, 0.371, 0.369, 0.409, 0.345, 0.647, 0.565, 0.69, 0.523, 0.802, 0.769, 0.626, 1.0, 0.541, 0.797, 0.597, 0.677
0.208, 0.256, 0.173, 0.258, 0.246, 0.202, 0.259, 0.286, 0.231, 0.233, 0.42, 0.308, 0.6, 0.449, 0.474, 0.402, 0.544, 0.529, 0.64, 0.541, 1.0, 0.544, 0.481, 0.552
0.277, 0.291, 0.311, 0.458, 0.454, 0.396, 0.466, 0.454, 0.454, 0.454, 0.429, 0.334, 0.713, 0.706, 0.741, 0.677, 0.849, 0.869, 0.743, 0.797, 0.544, 1.0, 0.794, 0.853
0.214, 0.281, 0.31, 0.488, 0.479, 0.273, 0.486, 0.475, 0.467, 0.468, 0.386, 0.24, 0.658, 0.75, 0.666, 0.752, 0.718, 0.76, 0.764, 0.597, 0.481, 0.794, 1.0, 0.898
0.234, 0.303, 0.317, 0.477, 0.462, 0.319, 0.479, 0.472, 0.46, 0.46, 0.422, 0.266, 0.705, 0.744, 0.714, 0.724, 0.791, 0.82, 0.823, 0.677, 0.552, 0.853, 0.898, 1.0
