1.0, 0.689, 0.689, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.63, 0.63, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45
0.689, 1.0, 0.827, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.63, 0.63, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45
0.689, 0.827, 1.0, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.63, 0.63, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45
0.45, 0.45, 0.45, 1.0, 0.927, 0.539, 0.97, 0.805, 0.805, 0.805, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488
0.45, 0.45, 0.45, 0.927, 1.0, 0.539, 0.927, 0.805, 0.805, 0.805, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488
0.45, 0.45, 0.45, 0.539, 0.539, 1.0, 0.539, 0.539, 0.539, 0.539, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488
0.45, 0.45, 0.45, 0.97, 0.927, 0.539, 1.0, 0.805, 0.805, 0.805, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488
0.45, 0.45, 0.45, 0.805, 0.805, 0.539, 0.805, 1.0, 0.909, 0.909, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488
0.45, 0.45, 0.45, 0.805, 0.805, 0.539, 0.805, 0.909, 1.0, 0.986, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488
0.45, 0.45, 0.45, 0.805, 0.805, 0.539, 0.805, 0.909, 0.986, 1.0, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488
0.63, 0.63, 0.63, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 1.0, 0.64, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45
0.63, 0.63, 0.63, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.64, 1.0, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 1.0, 0.815, 0.825, 0.815, 0.825, 0.825, 0.823, 0.802, 0.64, 0.825, 0.825, 0.825
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 0.815, 1.0, 0.815, 0.941, 0.815, 0.815, 0.815, 0.802, 0.64, 0.815, 0.815, 0.815
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 0.825, 0.815, 1.0, 0.815, 0.871, 0.871, 0.823, 0.802, 0.64, 0.869, 0.853, 0.853
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 0.815, 0.941, 0.815, 1.0, 0.815, 0.815, 0.815, 0.802, 0.64, 0.815, 0.815, 0.815
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 0.825, 0.815, 0.871, 0.815, 1.0, 0.947, 0.823, 0.802, 0.64, 0.869, 0.853, 0.853
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 0.825, 0.815, 0.871, 0.815, 0.947, 1.0, 0.823, 0.802, 0.64, 0.869, 0.853, 0.853
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 0.823, 0.815, 0.823, 0.815, 0.823, 0.823, 1.0, 0.802, 0.64, 0.823, 0.823, 0.823
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 0.802, 1.0, 0.64, 0.802, 0.802, 0.802
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 0.64, 0.64, 0.64, 0.64, 0.64, 0.64, 0.64, 0.64, 1.0, 0.64, 0.64, 0.64
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 0.825, 0.815, 0.869, 0.815, 0.869, 0.869, 0.823, 0.802, 0.64, 1.0, 0.853, 0.853
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 0.825, 0.815, 0.853, 0.815, 0.853, 0.853, 0.823, 0.802, 0.64, 0.853, 1.0, 0.898
0.45, 0.45, 0.45, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.488, 0.45, 0.45, 0.825, 0.815, 0.853, 0.815, 0.853, 0.853, 0.823, 0.802, 0.64, 0.853, 0.898, 1.0
